sheet_row_no	test_name	grade	course	stream	test_format	test_purpose	test_type	optional_limits	test_code	cms_link	question_pdf	solution_pdf	ranking_cutoff_date												
1	JNV-G12-BASELINE-JEE	12	Photon	engineering	major_test	one_time	assessment	N/A	JS-FT-11-25	https://cms.peerlearning.com/tests/6836b8803562d935f80008a5?test_set_name=A	https://drive.google.com/file/d/1KmIw18z_CtxDbNETVXc30gqMbFFe9H7u/view?usp=sharing	https://drive.google.com/file/d/1YpyDH_sbk2C3otY5Z0l_cqPdYEw-jjNv/view?usp=sharing	2026-06-15												
2	AIET-08-G11-PCB	11	Photon	medical	full_syllabus_test	one_time	assessment	N/A	JS-FT-52-25	https://cms.peerlearning.com/tests/696dc31f3562d978bf000d4b	https://drive.google.com/file/d/1xvhvUToVsDJ9eSah_XEL_VPVG6lrr9fg/view?usp=sharing	https://drive.google.com/file/d/1J93iX5JG9xpACfBYh--zC95O2wXCavbN/view?usp=sharing	2026-03-19												
