,,,,,,,,
,,,,,,,,
,,,,Q1,Q2,Q3,Q4,Q6
,1,General Check Grade 11,Question,Have you interacted with grade 11 students?,Check on the program updates for the previous month?,Were able to provide a direction for the next month?,Did students convey any concerns that needs to be addressed?,
,,,Type,Binary and remark,Binary and remark,Binary and remark,Binary and remark,
,2,General Check Grade 12,Question,Have you interacted with grade 12?,Check on the program updates for the previous month?,Were able to provide a direction for the next month?,Did students convey any concerns that needs to be addressed?,
,,,Type,Binary and remark,Binary and remark,Binary and remark,Binary and remark,
